GitHub address,PR State
https://github.com/Cambalab/metabase-compose/pull/5,closed
https://github.com/ashish-singh-git/docker-compose/pull/1,closed
https://github.com/surveysolutions/docker-compose/pull/4,closed
https://github.com/timvisee/send-docker-compose/pull/8,closed
https://github.com/ObolNetwork/charon-distributed-validator-node/pull/79,closed
https://github.com/rahulwagh/spring-boot-docker/pull/3,open
https://github.com/aitlp/docker-v2ray/pull/9,open
https://github.com/sarunas-zilinskas/docker-compose-macvlan/pull/5,open
https://github.com/dockersamples/compose-dev-env/pull/11,open
https://github.com/dotnet-labs/JwtAuthDemo/pull/7,merged
https://github.com/API-Security/APISandbox/pull/7,open
https://github.com/Toumash/mlflow-docker/pull/16,closed
https://github.com/metcalfc/docker-ecs-compose/pull/2,closed
https://github.com/WildCodeSchool/wns-docker-compose-app/pull/86,merged
https://github.com/swimlane/elk-tls-docker/pull/34,open
https://github.com/PGCSEDS-IIITH/compose-iris/pull/4,merged
https://github.com/tonynii/zentao_docker-compose/pull/6,open
https://github.com/mekomsolutions/bahmni-docker-compose/pull/29,open
https://github.com/veryacademy/docker-mastery-with-django/pull/1,open
https://github.com/liamlows/CLOUD_Sample_Docker-Compose_Project/pull/63,merged
https://github.com/nolar/vpn-in-docker-compose/pull/6,open
https://github.com/kasteckis/symfony-docker-compose/pull/3,open
https://github.com/sachua/mlflow-docker-compose/pull/21,merged
https://github.com/expoli/docker-compose-files/pull/27,closed
https://github.com/jersonmartinez/docker-lamp/pull/9,merged
https://github.com/cBioPortal/cbioportal-docker-compose/pull/18,open
https://github.com/goryn-clade/pathfinder-containers/pull/46,closed
https://github.com/heyValdemar/sonarqube-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/heyValdemar/jira-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/heyValdemar/bitbucket-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/heyValdemar/zabbix-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/heyValdemar/grafana-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/heyValdemar/glpi-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/heyValdemar/keycloak-traefik-letsencrypt-rds-docker-compose/pull/1,merged
https://github.com/heyValdemar/nextcloud-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/heyValdemar/quake-js-docker-compose/pull/1,merged
https://github.com/heyValdemar/confluence-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/heyValdemar/wordpress-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/heyValdemar/joomla-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/heyValdemar/otrs-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/heyValdemar/gitea-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/heyValdemar/keycloak-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/autolab/docker/pull/47,open
https://github.com/kayne87/mongodb-sharding-docker/pull/2,open
https://github.com/kevinadhiguna/strapi-dockerize/pull/7,merged
https://github.com/kidonng/docker/pull/3,open
https://github.com/masfworld/cdc_deltaLake/pull/5,merged
https://github.com/EBISPOT/ontotools-docker/pull/12,open
https://github.com/vgocoder/docker-compose-laravel-alpine-for-mac-m1/pull/4,open
https://github.com/kidonng/docker/pull/3,open
https://github.com/Joeharrison94/terraform-gcp-ubuntu-container-ready-e2-micro-vm/pull/3,merged
https://github.com/bihealth/varfish-docker-compose/pull/17,open
https://github.com/albanhasa/php-docker-compose/pull/1,open
https://github.com/expoli/start-bolo-with-docker-compose/pull/24,open
https://github.com/dbeley/docker-compose/pull/1,open
https://github.com/borjapazr/mars-server/pull/6,open
https://github.com/saeidjoker/spring-boot-mongodb-docker-compose-starter/pull/1,closed
https://github.com/Aurora-Admin-Panel/compose/pull/38,merged
https://github.com/ankit12305/docker-compose/pull/1,open
https://github.com/trancemind/mina-docker-compose/pull/2,open
https://github.com/fejich/docker-embyhack/pull/2,open
https://github.com/SurfingNerd/blockscout-docker-compose/pull/3,merged
https://github.com/dynamotn/bitwarden-docker-compose/pull/2,open
https://github.com/Bramas/hotcrp-docker-compose/pull/3,closed
https://github.com/libo0528/docker-compose-lnmpr/pull/1,open
https://github.com/arextest/deployments/pull/18,open
https://github.com/jontitmus-code/SuiteCRM8_docker/pull/12,open
https://github.com/jichangfeng/docker-compose-laravel/pull/1,merged
https://github.com/aiven/sql-cli-for-apache-flink-docker/pull/21,closed
https://github.com/sonatype-nexus-community/nexus-platform-reference/pull/9,open
https://github.com/LeiShi1313/nexusphp-docker-compose/pull/2,open
https://github.com/Elvincth/turbo-strapi-nextjs/pull/2,closed
https://github.com/miladrahimi/laravel-docker-compose/pull/5,merged
https://github.com/jonatanhallenberg/phpunit-docker-compose/pull/1,open
https://github.com/jweslley/docker-rails-bootstrap/pull/2,open
https://github.com/ablx/monitoring_stack/pull/1,open
https://github.com/imrenagi/docker-compose-demo/pull/1,open
https://github.com/tkwant/docker-traefik-nextcloud-nginx/pull/2,merged
https://github.com/Websoft9/docker-erpnext/pull/13,open
https://github.com/Accelergy-Project/accelergy-timeloop-infrastructure/pull/6,open
https://github.com/karthikasasanka/fastapi-celery-redis-rabbitmq/pull/10,open
https://github.com/llescure/42_Inception/pull/1,closed
https://github.com/compose-x/ecs_composex/pull/644,open
https://github.com/jonatanhallenberg/wordpress-docker/pull/1,open
https://github.com/SarpongAbasimi/DockerFlaskReact/pull/3,open
https://github.com/heyValdemar/minecraft-server-docker-compose/pull/1,merged
https://github.com/heyValdemar/xwiki-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/heyValdemar/keycloak-traefik-letsencrypt-docker-compose/pull/1,merged
https://github.com/marco-lancini/utils/pull/108,closed
https://github.com/torneseumprogramador/containers-docker-docker-compose-docker-swarm/pull/1,merged
https://github.com/ninadingole/docker-images/pull/2,merged
https://github.com/yowko/docker-compose-redis-cluster/pull/2,open
https://github.com/kelda/blimp/pull/56,open
https://github.com/akshu20791/docker-compose-lab/pull/1,open
https://github.com/nautobot/nautobot-docker-compose/pull/42,open
https://github.com/irbigdata/data-dockerfiles/pull/2,open
